Order_ID,Order_Date,SKU,Supplier_ID,Warehouse_ID,Expected_Delivery_Date,Actual_Delivery_Date,Freight_Cost,Order_Quantity
ORD00021,2024-06-22,SKU0050,SUP005,WH07,2024-07-25,2024-07-23,539.38,426
ORD00022,2024-05-29,SKU0021,SUP011,WH08,2024-07-10,2024-07-09,1417.92,241
ORD00023,2024-08-31,SKU0065,SUP017,WH10,2024-09-10,2024-09-08,457.8,444
ORD00024,2024-09-29,SKU0054,SUP014,WH07,2024-11-06,2024-11-06,72.67,387
ORD00025,2024-04-10,SKU0056,SUP003,WH10,2024-05-04,2024-05-02,531.14,94
ORD00026,2024-01-03,SKU0060,SUP015,WH08,2024-02-02,2024-02-02,1540.5,197
ORD00027,2024-01-27,SKU0072,SUP010,WH10,2024-02-28,2024-02-28,396.76,22
ORD00028,2024-05-05,SKU0005,SUP008,WH08,2024-05-20,2024-05-19,1157.85,126
ORD00029,2024-09-05,SKU0010,SUP016,WH09,2024-10-08,2024-10-07,879.73,21
ORD00030,2024-06-09,SKU0010,SUP006,WH02,2024-07-04,2024-07-04,1782.01,61
ORD00031,2024-08-13,SKU0016,SUP013,WH10,2024-08-26,2024-08-26,1319.65,12
ORD00032,2024-06-20,SKU0098,SUP004,WH04,2024-07-01,2024-06-29,598.89,339
ORD00033,2024-04-01,SKU0074,SUP008,WH08,2024-04-16,2024-04-15,1518.25,210
ORD00034,2024-09-30,SKU0067,SUP012,WH04,2024-10-23,2024-10-23,1157.39,240
ORD00035,2024-09-21,SKU0070,SUP013,WH05,2024-10-04,2024-10-03,1951.47,384
ORD00036,2024-12-17,SKU0004,SUP019,WH08,2025-01-22,2025-01-21,729.23,406
ORD00037,2024-10-28,SKU0022,SUP006,WH06,2024-11-22,2024-11-22,1139.97,271
ORD00038,2024-05-18,SKU0080,SUP018,WH08,2024-06-05,2024-06-03,508.76,234
ORD00039,2024-09-14,SKU0047,SUP017,WH01,2024-09-24,2024-09-24,1251.22,328
ORD00040,2024-05-07,SKU0051,SUP008,WH09,2024-05-22,2024-05-22,630.35,213
ORD00041,2024-11-14,SKU0076,SUP003,WH05,2024-12-08,2024-12-08,1416.42,226
ORD00042,2024-08-10,SKU0008,SUP006,WH08,2024-09-04,2024-09-14,938.15,156
ORD00043,2024-10-31,SKU0080,SUP014,WH03,2024-12-08,2024-12-07,1271.77,102
ORD00044,2024-04-12,SKU0069,SUP016,WH06,2024-05-15,2024-05-14,963.78,107
ORD00045,2024-01-06,SKU0041,SUP013,WH06,2024-01-19,2024-01-19,198.07,331
ORD00046,2024-02-21,SKU0050,SUP015,WH02,2024-03-22,2024-03-20,1960.65,416
ORD00047,2024-07-12,SKU0008,SUP003,WH05,2024-08-05,2024-08-04,455.79,217
ORD00048,2024-12-16,SKU0021,SUP011,WH07,2025-01-27,2025-01-27,1431.2,56
ORD00049,2024-08-16,SKU0025,SUP018,WH09,2024-09-03,2024-09-03,561.24,309
ORD00050,2024-10-22,SKU0088,SUP008,WH09,2024-11-06,2024-11-06,350.25,452
ORD00051,2024-06-20,SKU0012,SUP018,WH04,2024-07-08,2024-07-21,1178.92,268
ORD00052,2024-12-15,SKU0030,SUP003,WH07,2025-01-08,2025-01-06,175.73,23
ORD00053,2024-12-09,SKU0014,SUP020,WH02,2025-01-16,2025-01-14,456.58,50
ORD00054,2024-03-20,SKU0029,SUP016,WH09,2024-04-22,2024-04-21,1937.01,265
ORD00055,2024-11-10,SKU0002,SUP013,WH09,2024-11-23,2024-11-22,1216.21,432
ORD00056,2024-01-07,SKU0028,SUP013,WH10,2024-01-20,2024-01-20,989.6,38
ORD00057,2024-08-04,SKU0073,SUP019,WH05,2024-09-09,2024-09-07,1915.16,379
ORD00058,2024-06-08,SKU0077,SUP008,WH04,2024-06-23,2024-06-22,715.5,392
ORD00059,2024-04-19,SKU0038,SUP004,WH08,2024-04-30,2024-05-05,922.56,35
ORD00060,2024-12-06,SKU0071,SUP019,WH08,2025-01-11,2025-01-09,1338.49,113
ORD00061,2024-08-29,SKU0062,SUP003,WH03,2024-09-22,2024-10-05,492.89,11
ORD00062,2024-02-20,SKU0091,SUP014,WH06,2024-03-29,2024-03-28,213.05,287
ORD00063,2024-02-20,SKU0081,SUP006,WH07,2024-03-16,2024-03-14,1920.89,95
ORD00064,2024-02-12,SKU0023,SUP019,WH05,2024-03-19,2024-03-19,1587.49,459
ORD00065,2024-04-20,SKU0059,SUP020,WH04,2024-05-28,2024-06-04,1081.84,54
ORD00066,2024-01-26,SKU0079,SUP010,WH03,2024-02-27,2024-03-02,1442.75,328
ORD00067,2024-04-06,SKU0031,SUP011,WH05,2024-05-18,2024-05-16,907.98,395
ORD00068,2024-10-06,SKU0058,SUP010,WH03,2024-11-07,2024-11-06,1450.84,97
ORD00069,2024-11-14,SKU0041,SUP009,WH04,2024-12-12,2024-12-15,1076.37,133
ORD00070,2024-10-13,SKU0031,SUP019,WH02,2024-11-18,2024-11-18,459.67,400
ORD00071,2024-06-30,SKU0020,SUP006,WH04,2024-07-25,2024-07-23,1396.01,55
ORD00072,2024-09-10,SKU0004,SUP020,WH07,2024-10-18,2024-10-19,1429.17,226
ORD00073,2024-12-10,SKU0075,SUP014,WH04,2025-01-17,2025-01-16,402.98,132
ORD00074,2024-01-20,SKU0082,SUP020,WH02,2024-02-27,2024-02-25,1492.18,16
ORD00075,2024-11-26,SKU0066,SUP013,WH09,2024-12-09,2024-12-09,1306.93,231
ORD00076,2024-09-21,SKU0025,SUP017,WH05,2024-10-01,2024-09-29,1928.12,248
ORD00077,2024-05-21,SKU0002,SUP010,WH06,2024-06-22,2024-06-21,1613.17,180
ORD00078,2024-06-12,SKU0064,SUP010,WH06,2024-07-14,2024-07-28,1998.61,408
ORD00079,2024-06-09,SKU0020,SUP006,WH06,2024-07-04,2024-07-02,1019.26,57
ORD00080,2024-02-27,SKU0055,SUP005,WH05,2024-03-31,2024-03-30,1839.39,220
ORD00081,2024-03-25,SKU0098,SUP001,WH08,2024-05-01,2024-04-30,264.72,98
ORD00082,2024-04-17,SKU0001,SUP008,WH09,2024-05-02,2024-04-30,640.31,381
ORD00083,2024-01-03,SKU0058,SUP020,WH10,2024-02-10,2024-02-10,1717.76,282
ORD00084,2024-07-01,SKU0100,SUP019,WH05,2024-08-06,2024-08-06,504.83,355
ORD00085,2024-06-22,SKU0034,SUP014,WH04,2024-07-30,2024-07-30,1061.64,62
ORD00086,2024-04-30,SKU0082,SUP008,WH01,2024-05-15,2024-05-15,198.43,233
ORD00087,2024-03-05,SKU0083,SUP011,WH05,2024-04-16,2024-04-16,1007.57,34
ORD00088,2024-12-19,SKU0049,SUP016,WH10,2025-01-21,2025-01-19,421.35,168
ORD00089,2024-09-04,SKU0031,SUP001,WH03,2024-10-11,2024-10-11,1606.26,473
ORD00090,2024-06-22,SKU0069,SUP019,WH09,2024-07-28,2024-07-28,1286.31,366
ORD00091,2024-09-20,SKU0062,SUP018,WH08,2024-10-08,2024-10-06,696.62,48
ORD00092,2024-05-15,SKU0048,SUP020,WH07,2024-06-22,2024-06-21,1806.33,190
ORD00093,2024-03-19,SKU0020,SUP002,WH06,2024-04-02,2024-04-01,1450.32,436
ORD00094,2024-09-02,SKU0075,SUP019,WH08,2024-10-08,2024-10-06,919.7,93
ORD00095,2024-10-08,SKU0022,SUP013,WH01,2024-10-21,2024-10-20,1434.64,380
ORD00096,2024-08-25,SKU0014,SUP012,WH02,2024-09-17,2024-09-15,876.07,167
ORD00097,2024-07-25,SKU0007,SUP004,WH02,2024-08-05,2024-08-03,1796.66,243
ORD00098,2024-01-01,SKU0045,SUP010,WH08,2024-02-02,2024-01-31,1492.93,439
ORD00099,2024-08-20,SKU0013,SUP008,WH05,2024-09-04,2024-09-03,876.07,339
ORD00100,2024-08-13,SKU0034,SUP020,WH03,2024-09-20,2024-09-18,1039.33,148
ORD00101,2024-05-30,SKU0025,SUP007,WH01,2024-06-18,2024-06-29,771.34,14
ORD00102,2024-03-29,SKU0046,SUP005,WH05,2024-05-01,2024-04-30,727.5,125
ORD00103,2024-12-23,SKU0078,SUP019,WH04,2025-01-28,2025-01-28,371.33,214
ORD00104,2024-05-16,SKU0046,SUP004,WH02,2024-05-27,2024-05-25,1668.45,75
ORD00105,2024-04-09,SKU0056,SUP019,WH01,2024-05-15,2024-05-15,105.88,442
ORD00106,2024-09-14,SKU0015,SUP020,WH08,2024-10-22,2024-10-22,128.9,37
ORD00107,2024-06-24,SKU0012,SUP007,WH08,2024-07-13,2024-07-17,674.49,274
ORD00108,2024-07-22,SKU0098,SUP014,WH03,2024-08-29,2024-08-28,1354.12,488
ORD00109,2024-08-24,SKU0062,SUP016,WH05,2024-09-26,2024-09-24,194.52,174
ORD00110,2024-05-14,SKU0002,SUP011,WH03,2024-06-25,2024-06-24,728.74,273
ORD00111,2024-02-25,SKU0057,SUP014,WH05,2024-04-03,2024-04-03,172.69,45
ORD00112,2024-03-02,SKU0002,SUP003,WH02,2024-03-26,2024-03-26,456.2,367
ORD00113,2024-12-08,SKU0008,SUP011,WH10,2025-01-19,2025-01-19,1407.2,488
ORD00114,2024-07-03,SKU0038,SUP011,WH08,2024-08-14,2024-08-24,1729.71,388
ORD00115,2024-06-01,SKU0066,SUP012,WH10,2024-06-24,2024-06-29,1094.22,83
ORD00116,2024-04-26,SKU0063,SUP019,WH03,2024-06-01,2024-06-12,659.59,182
ORD00117,2024-09-20,SKU0080,SUP017,WH09,2024-09-30,2024-09-28,1311.92,364
ORD00118,2024-11-29,SKU0018,SUP013,WH06,2024-12-12,2024-12-12,614.94,401
ORD00119,2024-10-07,SKU0020,SUP009,WH02,2024-11-04,2024-11-03,1950.91,207
ORD00120,2024-07-14,SKU0054,SUP009,WH04,2024-08-11,2024-08-11,389.77,481
ORD00121,2024-06-22,SKU0087,SUP001,WH09,2024-07-29,2024-08-11,1901.31,109
ORD00122,2024-11-12,SKU0073,SUP012,WH08,2024-12-05,2024-12-05,646.71,373
ORD00123,2024-11-08,SKU0067,SUP006,WH08,2024-12-03,2024-12-04,207.82,253
ORD00124,2024-05-22,SKU0010,SUP018,WH03,2024-06-09,2024-06-15,837.93,358
ORD00125,2024-12-17,SKU0088,SUP016,WH07,2025-01-19,2025-01-24,1403.34,302
ORD00126,2024-10-29,SKU0099,SUP019,WH10,2024-12-04,2024-12-02,973.96,221
ORD00127,2024-11-04,SKU0059,SUP020,WH01,2024-12-12,2024-12-12,763.79,409
ORD00128,2024-01-21,SKU0034,SUP009,WH04,2024-02-18,2024-02-18,1241.89,422
ORD00129,2024-02-17,SKU0067,SUP009,WH01,2024-03-16,2024-03-21,346.3,410
ORD00130,2024-04-18,SKU0065,SUP013,WH02,2024-05-01,2024-05-01,1407.65,53
ORD00131,2024-10-04,SKU0093,SUP009,WH10,2024-11-01,2024-10-31,1808.0,217
ORD00132,2024-01-29,SKU0012,SUP006,WH03,2024-02-23,2024-02-21,1690.77,377
ORD00133,2024-01-31,SKU0052,SUP015,WH02,2024-03-01,2024-03-04,1588.22,434
ORD00134,2024-01-12,SKU0071,SUP010,WH01,2024-02-13,2024-02-12,1856.39,187
ORD00135,2024-03-11,SKU0035,SUP019,WH10,2024-04-16,2024-04-16,853.59,372
ORD00136,2024-12-01,SKU0085,SUP005,WH05,2025-01-03,2025-01-03,448.04,287
ORD00137,2024-09-20,SKU0007,SUP009,WH08,2024-10-18,2024-10-18,1862.65,118
ORD00138,2024-09-18,SKU0011,SUP011,WH03,2024-10-30,2024-10-28,1614.26,447
ORD00139,2024-04-16,SKU0080,SUP019,WH07,2024-05-22,2024-05-21,1906.6,227
ORD00140,2024-08-16,SKU0013,SUP012,WH09,2024-09-08,2024-09-13,107.04,306
ORD00141,2024-10-11,SKU0042,SUP002,WH07,2024-10-25,2024-11-06,1252.9,151
ORD00142,2024-07-13,SKU0029,SUP007,WH06,2024-08-01,2024-08-01,1773.08,22
ORD00143,2024-11-08,SKU0069,SUP018,WH03,2024-11-26,2024-11-28,812.07,231
ORD00144,2024-07-26,SKU0002,SUP006,WH03,2024-08-20,2024-08-20,936.91,364
ORD00145,2024-04-28,SKU0036,SUP007,WH06,2024-05-17,2024-05-26,709.0,170
ORD00146,2024-08-21,SKU0099,SUP004,WH05,2024-09-01,2024-08-30,438.59,465
ORD00147,2024-12-10,SKU0037,SUP015,WH01,2025-01-09,2025-01-18,1435.6,377
ORD00148,2024-10-28,SKU0060,SUP003,WH02,2024-11-21,2024-11-20,1748.29,324
ORD00149,2024-06-30,SKU0099,SUP008,WH05,2024-07-15,2024-07-13,386.6,405
ORD00150,2024-08-05,SKU0061,SUP015,WH02,2024-09-04,2024-09-04,1890.38,432
ORD00151,2024-12-22,SKU0076,SUP018,WH06,2025-01-09,2025-01-07,763.26,363
ORD00152,2024-09-30,SKU0096,SUP005,WH04,2024-11-02,2024-11-01,438.67,414
ORD00153,2024-07-02,SKU0062,SUP007,WH03,2024-07-21,2024-07-19,474.88,359
ORD00154,2024-04-12,SKU0084,SUP003,WH02,2024-05-06,2024-05-04,227.96,432
ORD00155,2024-11-26,SKU0051,SUP009,WH06,2024-12-24,2024-12-24,533.1,60
ORD00156,2024-12-22,SKU0082,SUP020,WH02,2025-01-29,2025-02-01,266.62,178
ORD00157,2024-01-26,SKU0065,SUP007,WH07,2024-02-14,2024-02-22,786.58,445
ORD00158,2024-01-12,SKU0034,SUP006,WH10,2024-02-06,2024-02-06,998.08,242
ORD00159,2024-02-12,SKU0056,SUP008,WH10,2024-02-27,2024-03-07,1666.96,17
ORD00160,2024-05-21,SKU0034,SUP018,WH07,2024-06-08,2024-06-07,545.29,425
ORD00161,2024-02-28,SKU0040,SUP011,WH09,2024-04-10,2024-04-10,1820.84,331
ORD00162,2024-11-17,SKU0030,SUP013,WH10,2024-11-30,2024-12-13,1921.61,456
ORD00163,2024-11-29,SKU0050,SUP016,WH07,2025-01-01,2024-12-31,529.21,17
ORD00164,2024-03-06,SKU0035,SUP015,WH03,2024-04-05,2024-04-05,1266.47,81
ORD00165,2024-10-29,SKU0063,SUP012,WH06,2024-11-21,2024-12-04,216.96,260
ORD00166,2024-02-21,SKU0037,SUP012,WH09,2024-03-15,2024-03-15,193.71,98
ORD00167,2024-10-14,SKU0050,SUP011,WH07,2024-11-25,2024-11-24,1619.12,265
ORD00168,2024-05-13,SKU0015,SUP004,WH04,2024-05-24,2024-05-23,554.83,179
ORD00169,2024-01-15,SKU0039,SUP009,WH02,2024-02-12,2024-02-10,1594.27,112
ORD00170,2024-06-05,SKU0036,SUP017,WH02,2024-06-15,2024-06-13,201.05,387
ORD00171,2024-10-27,SKU0097,SUP001,WH04,2024-12-03,2024-12-02,182.63,29
ORD00172,2024-12-06,SKU0045,SUP017,WH09,2024-12-16,2024-12-15,1834.63,438
ORD00173,2024-02-14,SKU0003,SUP012,WH06,2024-03-08,2024-03-06,1388.76,85
ORD00174,2024-11-01,SKU0031,SUP007,WH01,2024-11-20,2024-12-01,606.11,294
ORD00175,2024-04-17,SKU0073,SUP003,WH10,2024-05-11,2024-05-11,1849.41,495
ORD00176,2024-06-18,SKU0017,SUP016,WH05,2024-07-21,2024-07-19,1492.0,65
ORD00177,2024-02-09,SKU0017,SUP001,WH04,2024-03-17,2024-03-16,141.88,464
ORD00178,2024-12-21,SKU0038,SUP011,WH09,2025-02-01,2025-02-08,105.21,158
ORD00179,2024-10-15,SKU0036,SUP004,WH04,2024-10-26,2024-10-25,1211.74,373
ORD00180,2024-08-22,SKU0049,SUP019,WH07,2024-09-27,2024-09-27,1606.29,429
ORD00181,2024-09-22,SKU0004,SUP004,WH10,2024-10-03,2024-10-01,391.96,123
ORD00182,2024-11-14,SKU0073,SUP017,WH06,2024-11-24,2024-11-22,587.28,180
ORD00183,2024-02-22,SKU0022,SUP012,WH07,2024-03-16,2024-03-15,1978.64,431
ORD00184,2024-03-30,SKU0072,SUP001,WH04,2024-05-06,2024-05-06,1572.78,60
ORD00185,2024-01-14,SKU0057,SUP015,WH09,2024-02-13,2024-02-12,1172.35,63
ORD00186,2024-06-27,SKU0021,SUP018,WH01,2024-07-15,2024-07-14,1146.24,158
ORD00187,2024-06-29,SKU0047,SUP005,WH03,2024-08-01,2024-08-03,411.51,305
ORD00188,2024-01-11,SKU0004,SUP020,WH10,2024-02-18,2024-02-18,629.1,405
ORD00189,2024-08-29,SKU0071,SUP016,WH05,2024-10-01,2024-09-30,1137.18,285
ORD00190,2024-01-04,SKU0031,SUP015,WH02,2024-02-03,2024-02-03,651.0,251
ORD00191,2024-10-16,SKU0039,SUP007,WH05,2024-11-04,2024-11-02,1087.91,436
ORD00192,2024-09-14,SKU0016,SUP003,WH03,2024-10-08,2024-10-07,1905.02,94
ORD00193,2024-10-24,SKU0037,SUP009,WH06,2024-11-21,2024-11-20,1288.78,451
ORD00194,2024-02-13,SKU0040,SUP017,WH03,2024-02-23,2024-02-23,50.1,163
ORD00195,2024-11-13,SKU0023,SUP012,WH04,2024-12-06,2024-12-04,1029.96,145
ORD00196,2024-07-18,SKU0098,SUP013,WH10,2024-07-31,2024-07-29,456.35,477
ORD00197,2024-11-11,SKU0028,SUP016,WH01,2024-12-14,2024-12-13,1428.54,326
ORD00198,2024-09-11,SKU0019,SUP007,WH08,2024-09-30,2024-10-01,1347.54,221
ORD00199,2024-08-27,SKU0055,SUP001,WH01,2024-10-03,2024-10-01,1296.63,171
ORD00200,2024-01-12,SKU0032,SUP018,WH05,2024-01-30,2024-02-06,1164.1,226
ORD00201,2024-09-09,SKU0046,SUP013,WH07,2024-09-22,2024-09-20,1061.6,397
ORD00202,2024-06-12,SKU0073,SUP012,WH10,2024-07-05,2024-07-09,1053.46,85
ORD00203,2024-11-05,SKU0008,SUP012,WH03,2024-11-28,2024-12-01,895.3,95
ORD00204,2024-09-06,SKU0051,SUP018,WH01,2024-09-24,2024-10-06,900.37,159
ORD00205,2024-01-28,SKU0003,SUP016,WH08,2024-03-01,2024-03-04,1794.2,246
ORD00206,2024-11-20,SKU0005,SUP014,WH09,2024-12-28,2024-12-26,522.46,409
ORD00207,2024-01-23,SKU0010,SUP016,WH06,2024-02-25,2024-02-24,319.03,113
ORD00208,2024-04-19,SKU0017,SUP006,WH01,2024-05-14,2024-05-12,1714.11,395
ORD00209,2024-03-20,SKU0035,SUP015,WH06,2024-04-19,2024-04-18,879.93,454
ORD00210,2024-12-21,SKU0094,SUP020,WH04,2025-01-28,2025-01-28,1968.65,223
ORD00211,2024-02-25,SKU0091,SUP005,WH05,2024-03-29,2024-03-28,1687.59,481
ORD00212,2024-11-04,SKU0011,SUP012,WH01,2024-11-27,2024-11-27,1014.73,447
ORD00213,2024-03-22,SKU0100,SUP014,WH04,2024-04-29,2024-04-29,1907.36,400
ORD00214,2024-08-25,SKU0064,SUP011,WH10,2024-10-06,2024-10-06,1121.0,196
ORD00215,2024-02-02,SKU0056,SUP020,WH01,2024-03-11,2024-03-09,1744.76,157
ORD00216,2024-05-23,SKU0080,SUP009,WH10,2024-06-20,2024-06-18,78.54,433
ORD00217,2024-08-15,SKU0049,SUP005,WH06,2024-09-17,2024-09-16,707.0,226
ORD00218,2024-09-16,SKU0027,SUP003,WH06,2024-10-10,2024-10-10,1092.98,25
ORD00219,2024-11-14,SKU0053,SUP017,WH10,2024-11-24,2024-11-22,808.49,361
ORD00220,2024-10-24,SKU0073,SUP014,WH03,2024-12-01,2024-12-03,1638.54,180
ORD00221,2024-07-08,SKU0069,SUP012,WH10,2024-07-31,2024-07-29,1417.49,468
ORD00222,2024-04-20,SKU0017,SUP009,WH03,2024-05-18,2024-05-18,947.64,428
ORD00223,2024-04-05,SKU0094,SUP009,WH04,2024-05-03,2024-05-03,395.88,61
ORD00224,2024-12-28,SKU0029,SUP019,WH05,2025-02-02,2025-02-02,325.01,451
ORD00225,2024-08-10,SKU0082,SUP014,WH07,2024-09-17,2024-09-27,220.28,475
ORD00226,2024-11-27,SKU0032,SUP020,WH04,2025-01-04,2025-01-03,1654.94,380
ORD00227,2024-06-07,SKU0007,SUP017,WH08,2024-06-17,2024-06-23,206.12,144
ORD00228,2024-06-26,SKU0100,SUP016,WH01,2024-07-29,2024-07-27,1781.98,338
ORD00229,2024-10-28,SKU0059,SUP012,WH07,2024-11-20,2024-11-18,134.76,435
ORD00230,2024-09-20,SKU0022,SUP005,WH07,2024-10-23,2024-10-21,1903.14,409
ORD00231,2024-03-14,SKU0001,SUP014,WH06,2024-04-21,2024-04-19,1346.29,221
ORD00232,2024-07-10,SKU0013,SUP015,WH07,2024-08-09,2024-08-13,390.89,356
ORD00233,2024-03-18,SKU0017,SUP011,WH08,2024-04-29,2024-04-27,1691.73,199
ORD00234,2024-10-04,SKU0093,SUP001,WH10,2024-11-10,2024-11-08,1957.77,134
ORD00235,2024-01-11,SKU0018,SUP020,WH03,2024-02-18,2024-02-18,197.92,339
ORD00236,2024-10-28,SKU0017,SUP017,WH05,2024-11-07,2024-11-21,1333.03,238
ORD00237,2024-12-05,SKU0084,SUP008,WH06,2024-12-20,2024-12-20,294.88,120
ORD00238,2024-01-09,SKU0088,SUP010,WH04,2024-02-10,2024-02-10,340.15,333
ORD00239,2024-08-18,SKU0021,SUP003,WH10,2024-09-11,2024-09-09,1383.12,167
ORD00240,2024-01-29,SKU0066,SUP019,WH06,2024-03-05,2024-03-03,148.4,298
ORD00241,2024-05-11,SKU0054,SUP005,WH06,2024-06-13,2024-06-12,1625.23,187
ORD00242,2024-05-02,SKU0058,SUP008,WH02,2024-05-17,2024-05-15,652.9,443
ORD00243,2024-07-08,SKU0032,SUP009,WH05,2024-08-05,2024-08-03,1466.82,426
ORD00244,2024-11-30,SKU0076,SUP006,WH07,2024-12-25,2024-12-24,1368.26,242
ORD00245,2024-06-17,SKU0089,SUP013,WH05,2024-06-30,2024-06-28,1049.16,358
ORD00246,2024-05-25,SKU0073,SUP020,WH08,2024-07-02,2024-07-01,134.25,97
ORD00247,2024-02-03,SKU0091,SUP018,WH02,2024-02-21,2024-02-20,713.48,498
ORD00248,2024-11-19,SKU0012,SUP011,WH02,2024-12-31,2024-12-30,605.85,115
ORD00249,2024-04-24,SKU0066,SUP003,WH04,2024-05-18,2024-05-17,1315.45,434
ORD00250,2024-06-17,SKU0100,SUP018,WH04,2024-07-05,2024-07-09,887.05,424
ORD00251,2024-02-03,SKU0054,SUP006,WH09,2024-02-28,2024-03-10,360.41,97
ORD00252,2024-04-15,SKU0095,SUP019,WH09,2024-05-21,2024-05-20,1925.63,14
ORD00253,2024-07-20,SKU0035,SUP008,WH05,2024-08-04,2024-08-04,841.91,371
ORD00254,2024-11-24,SKU0090,SUP011,WH06,2025-01-05,2025-01-05,420.9,435
ORD00255,2024-04-30,SKU0094,SUP009,WH03,2024-05-28,2024-05-27,900.45,361
ORD00256,2024-07-23,SKU0063,SUP010,WH06,2024-08-24,2024-08-22,856.62,37
ORD00257,2024-11-15,SKU0071,SUP004,WH08,2024-11-26,2024-11-25,1530.99,326
ORD00258,2024-05-11,SKU0053,SUP012,WH08,2024-06-03,2024-06-01,1063.76,201
ORD00259,2024-04-17,SKU0032,SUP009,WH10,2024-05-15,2024-05-14,1921.81,458
ORD00260,2024-01-17,SKU0054,SUP017,WH06,2024-01-27,2024-01-26,1915.1,402
ORD00261,2024-11-27,SKU0097,SUP010,WH04,2024-12-29,2024-12-27,1532.29,401
ORD00262,2024-02-10,SKU0002,SUP020,WH01,2024-03-19,2024-03-17,1803.23,209
ORD00263,2024-03-19,SKU0021,SUP006,WH07,2024-04-13,2024-04-11,210.44,167
ORD00264,2024-02-20,SKU0050,SUP007,WH09,2024-03-10,2024-03-08,1420.89,412
ORD00265,2024-09-15,SKU0034,SUP001,WH06,2024-10-22,2024-10-31,855.68,66
ORD00266,2024-05-13,SKU0063,SUP015,WH10,2024-06-12,2024-06-21,705.96,59
ORD00267,2024-09-14,SKU0037,SUP002,WH04,2024-09-28,2024-09-26,1326.15,40
ORD00268,2024-08-09,SKU0066,SUP006,WH01,2024-09-03,2024-09-01,441.38,260
ORD00269,2024-01-06,SKU0011,SUP019,WH07,2024-02-11,2024-02-09,325.27,46
ORD00270,2024-04-22,SKU0034,SUP013,WH02,2024-05-05,2024-05-04,1018.91,295
ORD00271,2024-01-02,SKU0070,SUP012,WH01,2024-01-25,2024-01-25,1289.58,91
ORD00272,2024-01-24,SKU0048,SUP017,WH08,2024-02-03,2024-02-02,333.26,446
ORD00273,2024-06-21,SKU0072,SUP016,WH05,2024-07-24,2024-07-24,554.48,221
ORD00274,2024-04-06,SKU0064,SUP018,WH07,2024-04-24,2024-04-24,1233.71,55
ORD00275,2024-02-02,SKU0033,SUP014,WH08,2024-03-11,2024-03-11,1569.29,349
ORD00276,2024-05-29,SKU0043,SUP009,WH04,2024-06-26,2024-06-24,1504.14,175
ORD00277,2024-06-13,SKU0097,SUP003,WH07,2024-07-07,2024-07-05,267.83,138
ORD00278,2024-12-28,SKU0097,SUP008,WH06,2025-01-12,2025-01-17,1789.28,333
ORD00279,2024-08-29,SKU0004,SUP015,WH06,2024-09-28,2024-09-30,246.0,478
ORD00280,2024-05-23,SKU0071,SUP006,WH08,2024-06-17,2024-06-16,1093.19,490
ORD00281,2024-06-21,SKU0050,SUP014,WH04,2024-07-29,2024-07-28,673.81,223
ORD00282,2024-02-02,SKU0001,SUP003,WH06,2024-02-26,2024-02-24,68.04,425
ORD00283,2024-05-21,SKU0064,SUP002,WH06,2024-06-04,2024-06-03,128.19,112
ORD00284,2024-07-31,SKU0003,SUP008,WH02,2024-08-15,2024-08-14,893.95,424
ORD00285,2024-01-08,SKU0032,SUP005,WH03,2024-02-10,2024-02-09,1997.75,471
