Date,Warehouse_ID,SKU,Stock_On_Hand,Average_Daily_Demand
2025-01-12,WH01,SKU0012,95,24
2025-01-13,WH01,SKU0012,121,26
2025-01-14,WH01,SKU0012,118,23
2025-01-15,WH01,SKU0012,100,24
2025-01-16,WH01,SKU0012,118,29
2025-01-17,WH01,SKU0012,121,27
2025-01-18,WH01,SKU0012,103,25
2025-01-19,WH01,SKU0012,122,22
2025-01-20,WH01,SKU0012,96,28
2025-01-21,WH01,SKU0012,98,22
2025-01-22,WH01,SKU0012,105,23
2025-01-23,WH01,SKU0012,118,29
2025-01-24,WH01,SKU0012,95,25
2025-01-25,WH01,SKU0012,122,27
2025-01-26,WH01,SKU0012,91,25
2025-01-27,WH01,SKU0012,107,26
2025-01-28,WH01,SKU0012,84,22
2025-01-29,WH01,SKU0012,117,22
2025-01-30,WH01,SKU0012,94,23
2025-01-01,WH01,SKU0013,122,13
2025-01-02,WH01,SKU0013,109,7
2025-01-03,WH01,SKU0013,111,10
2025-01-04,WH01,SKU0013,119,12
2025-01-05,WH01,SKU0013,132,12
2025-01-06,WH01,SKU0013,134,9
2025-01-07,WH01,SKU0013,143,9
2025-01-08,WH01,SKU0013,146,14
2025-01-09,WH01,SKU0013,132,11
2025-01-10,WH01,SKU0013,119,13
2025-01-11,WH01,SKU0013,135,14
2025-01-12,WH01,SKU0013,119,12
2025-01-13,WH01,SKU0013,127,6
2025-01-14,WH01,SKU0013,115,10
2025-01-15,WH01,SKU0013,121,6
2025-01-16,WH01,SKU0013,126,11
2025-01-17,WH01,SKU0013,121,14
2025-01-18,WH01,SKU0013,140,10
2025-01-19,WH01,SKU0013,146,9
2025-01-20,WH01,SKU0013,114,5
2025-01-21,WH01,SKU0013,146,14
2025-01-22,WH01,SKU0013,138,6
2025-01-23,WH01,SKU0013,120,5
2025-01-24,WH01,SKU0013,111,7
2025-01-25,WH01,SKU0013,131,5
2025-01-26,WH01,SKU0013,148,9
2025-01-27,WH01,SKU0013,119,10
2025-01-28,WH01,SKU0013,140,8
2025-01-29,WH01,SKU0013,110,5
2025-01-30,WH01,SKU0013,143,6
2025-01-01,WH01,SKU0014,347,13
2025-01-02,WH01,SKU0014,351,19
2025-01-03,WH01,SKU0014,333,15
2025-01-04,WH01,SKU0014,355,16
2025-01-05,WH01,SKU0014,335,16
2025-01-06,WH01,SKU0014,325,17
2025-01-07,WH01,SKU0014,322,13
2025-01-08,WH01,SKU0014,327,14
2025-01-09,WH01,SKU0014,332,21
2025-01-10,WH01,SKU0014,322,13
2025-01-11,WH01,SKU0014,320,18
2025-01-12,WH01,SKU0014,326,17
2025-01-13,WH01,SKU0014,317,16
2025-01-14,WH01,SKU0014,332,17
2025-01-15,WH01,SKU0014,338,20
2025-01-16,WH01,SKU0014,334,21
2025-01-17,WH01,SKU0014,337,15
2025-01-18,WH01,SKU0014,325,16
2025-01-19,WH01,SKU0014,339,15
2025-01-20,WH01,SKU0014,352,17
2025-01-21,WH01,SKU0014,350,19
2025-01-22,WH01,SKU0014,329,15
2025-01-23,WH01,SKU0014,345,16
2025-01-24,WH01,SKU0014,325,22
2025-01-25,WH01,SKU0014,335,13
2025-01-26,WH01,SKU0014,335,17
2025-01-27,WH01,SKU0014,350,20
2025-01-28,WH01,SKU0014,323,14
2025-01-29,WH01,SKU0014,340,13
2025-01-30,WH01,SKU0014,328,14
2025-01-01,WH01,SKU0015,42,32
2025-01-02,WH01,SKU0015,76,33
2025-01-03,WH01,SKU0015,71,32
2025-01-04,WH01,SKU0015,45,33
2025-01-05,WH01,SKU0015,67,38
2025-01-06,WH01,SKU0015,58,34
2025-01-07,WH01,SKU0015,42,37
2025-01-08,WH01,SKU0015,48,37
2025-01-09,WH01,SKU0015,66,40
2025-01-10,WH01,SKU0015,58,32
2025-01-11,WH01,SKU0015,50,40
2025-01-12,WH01,SKU0015,60,38
2025-01-13,WH01,SKU0015,57,33
2025-01-14,WH01,SKU0015,74,39
2025-01-15,WH01,SKU0015,78,40
2025-01-16,WH01,SKU0015,50,34
2025-01-17,WH01,SKU0015,48,41
2025-01-18,WH01,SKU0015,61,36
2025-01-19,WH01,SKU0015,77,38
2025-01-20,WH01,SKU0015,75,41
2025-01-21,WH01,SKU0015,42,35
2025-01-22,WH01,SKU0015,68,40
2025-01-23,WH01,SKU0015,44,35
2025-01-24,WH01,SKU0015,60,39
2025-01-25,WH01,SKU0015,43,38
2025-01-26,WH01,SKU0015,50,34
2025-01-27,WH01,SKU0015,59,36
2025-01-28,WH01,SKU0015,64,35
2025-01-29,WH01,SKU0015,71,32
2025-01-30,WH01,SKU0015,73,32
2025-01-01,WH01,SKU0016,376,12
2025-01-02,WH01,SKU0016,389,13
2025-01-03,WH01,SKU0016,387,19
2025-01-04,WH01,SKU0016,394,19
2025-01-05,WH01,SKU0016,373,19
2025-01-06,WH01,SKU0016,394,15
2025-01-07,WH01,SKU0016,365,20
2025-01-08,WH01,SKU0016,366,17
2025-01-09,WH01,SKU0016,370,13
2025-01-10,WH01,SKU0016,392,13
2025-01-11,WH01,SKU0016,387,18
2025-01-12,WH01,SKU0016,363,13
2025-01-13,WH01,SKU0016,392,17
2025-01-14,WH01,SKU0016,365,21
2025-01-15,WH01,SKU0016,371,12
2025-01-16,WH01,SKU0016,397,12
2025-01-17,WH01,SKU0016,383,21
2025-01-18,WH01,SKU0016,384,17
2025-01-19,WH01,SKU0016,376,13
2025-01-20,WH01,SKU0016,383,20
2025-01-21,WH01,SKU0016,364,20
2025-01-22,WH01,SKU0016,377,17
2025-01-23,WH01,SKU0016,367,18
2025-01-24,WH01,SKU0016,368,14
2025-01-25,WH01,SKU0016,389,12
2025-01-26,WH01,SKU0016,378,17
2025-01-27,WH01,SKU0016,366,14
2025-01-28,WH01,SKU0016,374,18
2025-01-29,WH01,SKU0016,400,20
2025-01-30,WH01,SKU0016,368,12
2025-01-01,WH01,SKU0017,59,22
2025-01-02,WH01,SKU0017,86,28
2025-01-03,WH01,SKU0017,86,22
2025-01-04,WH01,SKU0017,77,26
2025-01-05,WH01,SKU0017,60,25
2025-01-06,WH01,SKU0017,74,23
2025-01-07,WH01,SKU0017,83,26
2025-01-08,WH01,SKU0017,74,27
2025-01-09,WH01,SKU0017,83,25
2025-01-10,WH01,SKU0017,63,27
2025-01-11,WH01,SKU0017,81,29
2025-01-12,WH01,SKU0017,58,24
2025-01-13,WH01,SKU0017,89,25
2025-01-14,WH01,SKU0017,90,20
2025-01-15,WH01,SKU0017,54,27
2025-01-16,WH01,SKU0017,67,25
2025-01-17,WH01,SKU0017,70,24
2025-01-18,WH01,SKU0017,90,20
2025-01-19,WH01,SKU0017,83,28
2025-01-20,WH01,SKU0017,79,23
2025-01-21,WH01,SKU0017,59,26
2025-01-22,WH01,SKU0017,71,21
2025-01-23,WH01,SKU0017,67,29
2025-01-24,WH01,SKU0017,63,21
2025-01-25,WH01,SKU0017,80,21
2025-01-26,WH01,SKU0017,89,28
2025-01-27,WH01,SKU0017,92,29
2025-01-28,WH01,SKU0017,62,22
2025-01-29,WH01,SKU0017,66,24
2025-01-30,WH01,SKU0017,88,27
2025-01-01,WH01,SKU0018,658,0
2025-01-02,WH01,SKU0018,551,0
2025-01-03,WH01,SKU0018,565,0
2025-01-04,WH01,SKU0018,606,0
2025-01-05,WH01,SKU0018,435,0
2025-01-06,WH01,SKU0018,696,0
2025-01-07,WH01,SKU0018,661,0
2025-01-08,WH01,SKU0018,692,0
2025-01-09,WH01,SKU0018,613,0
2025-01-10,WH01,SKU0018,713,0
2025-01-11,WH01,SKU0018,779,0
2025-01-12,WH01,SKU0018,627,0
2025-01-13,WH01,SKU0018,577,0
2025-01-14,WH01,SKU0018,441,0
2025-01-15,WH01,SKU0018,711,0
2025-01-16,WH01,SKU0018,761,0
2025-01-17,WH01,SKU0018,679,0
2025-01-18,WH01,SKU0018,746,0
2025-01-19,WH01,SKU0018,744,0
2025-01-20,WH01,SKU0018,719,0
2025-01-21,WH01,SKU0018,601,0
2025-01-22,WH01,SKU0018,439,0
2025-01-23,WH01,SKU0018,401,0
2025-01-24,WH01,SKU0018,481,0
2025-01-25,WH01,SKU0018,572,0
2025-01-26,WH01,SKU0018,697,0
2025-01-27,WH01,SKU0018,582,0
2025-01-28,WH01,SKU0018,409,0
2025-01-29,WH01,SKU0018,484,0
2025-01-30,WH01,SKU0018,791,0
2025-01-01,WH01,SKU0019,506,20
2025-01-02,WH01,SKU0019,511,21
2025-01-03,WH01,SKU0019,499,16
2025-01-04,WH01,SKU0019,499,16
2025-01-05,WH01,SKU0019,487,19
2025-01-06,WH01,SKU0019,496,18
2025-01-07,WH01,SKU0019,489,17
2025-01-08,WH01,SKU0019,474,19
2025-01-09,WH01,SKU0019,497,22
2025-01-10,WH01,SKU0019,494,17
2025-01-11,WH01,SKU0019,476,14
2025-01-12,WH01,SKU0019,487,16
2025-01-13,WH01,SKU0019,488,16
2025-01-14,WH01,SKU0019,504,14
2025-01-15,WH01,SKU0019,487,14
2025-01-16,WH01,SKU0019,486,19
2025-01-17,WH01,SKU0019,475,16
2025-01-18,WH01,SKU0019,474,22
2025-01-19,WH01,SKU0019,503,15
2025-01-20,WH01,SKU0019,481,13
2025-01-21,WH01,SKU0019,492,20
2025-01-22,WH01,SKU0019,497,21
2025-01-23,WH01,SKU0019,487,15
2025-01-24,WH01,SKU0019,493,15
2025-01-25,WH01,SKU0019,513,14
2025-01-26,WH01,SKU0019,493,18
2025-01-27,WH01,SKU0019,476,17
2025-01-28,WH01,SKU0019,492,15
2025-01-29,WH01,SKU0019,479,13
2025-01-30,WH01,SKU0019,474,17
2025-01-01,WH01,SKU0020,0,37
2025-01-02,WH01,SKU0020,0,49
2025-01-03,WH01,SKU0020,0,50
2025-01-04,WH01,SKU0020,0,44
2025-01-05,WH01,SKU0020,0,56
2025-01-06,WH01,SKU0020,0,33
2025-01-07,WH01,SKU0020,0,37
2025-01-08,WH01,SKU0020,0,37
2025-01-09,WH01,SKU0020,0,34
2025-01-10,WH01,SKU0020,0,38
2025-01-11,WH01,SKU0020,0,39
2025-01-12,WH01,SKU0020,0,52
2025-01-13,WH01,SKU0020,0,39
2025-01-14,WH01,SKU0020,0,56
2025-01-15,WH01,SKU0020,0,53
2025-01-16,WH01,SKU0020,0,57
2025-01-17,WH01,SKU0020,0,33
2025-01-18,WH01,SKU0020,0,59
2025-01-19,WH01,SKU0020,0,48
2025-01-20,WH01,SKU0020,0,59
2025-01-21,WH01,SKU0020,0,40
2025-01-22,WH01,SKU0020,0,58
2025-01-23,WH01,SKU0020,0,47
2025-01-24,WH01,SKU0020,0,32
2025-01-25,WH01,SKU0020,0,42
2025-01-26,WH01,SKU0020,0,34
2025-01-27,WH01,SKU0020,0,58
2025-01-28,WH01,SKU0020,0,39
2025-01-29,WH01,SKU0020,0,36
2025-01-30,WH01,SKU0020,0,46
2025-01-01,WH01,SKU0021,253,11
2025-01-02,WH01,SKU0021,250,9
2025-01-03,WH01,SKU0021,237,8
2025-01-04,WH01,SKU0021,241,4
2025-01-05,WH01,SKU0021,224,5
2025-01-06,WH01,SKU0021,239,4
2025-01-07,WH01,SKU0021,225,11
2025-01-08,WH01,SKU0021,235,8
2025-01-09,WH01,SKU0021,241,10
2025-01-10,WH01,SKU0021,250,5
2025-01-11,WH01,SKU0021,254,6
2025-01-12,WH01,SKU0021,254,7
2025-01-13,WH01,SKU0021,225,10
2025-01-14,WH01,SKU0021,222,10
2025-01-15,WH01,SKU0021,222,5
2025-01-16,WH01,SKU0021,245,12
2025-01-17,WH01,SKU0021,237,4
2025-01-18,WH01,SKU0021,230,11
2025-01-19,WH01,SKU0021,250,4
2025-01-20,WH01,SKU0021,236,5
2025-01-21,WH01,SKU0021,228,11
2025-01-22,WH01,SKU0021,245,4
2025-01-23,WH01,SKU0021,247,7
2025-01-24,WH01,SKU0021,223,7
2025-01-25,WH01,SKU0021,228,5
2025-01-26,WH01,SKU0021,256,10
2025-01-27,WH01,SKU0021,226,11
2025-01-28,WH01,SKU0021,243,11
2025-01-29,WH01,SKU0021,250,6
2025-01-30,WH01,SKU0021,242,8
2025-01-01,WH01,SKU0022,366,10
2025-01-02,WH01,SKU0022,364,9
2025-01-03,WH01,SKU0022,354,17
2025-01-04,WH01,SKU0022,355,16
2025-01-05,WH01,SKU0022,353,15
2025-01-06,WH01,SKU0022,366,13
2025-01-07,WH01,SKU0022,364,12
2025-01-08,WH01,SKU0022,371,13
2025-01-09,WH01,SKU0022,368,13
2025-01-10,WH01,SKU0022,386,12
2025-01-11,WH01,SKU0022,367,9
2025-01-12,WH01,SKU0022,367,9
2025-01-13,WH01,SKU0022,360,17
2025-01-14,WH01,SKU0022,356,12
2025-01-15,WH01,SKU0022,386,17
2025-01-16,WH01,SKU0022,358,9
2025-01-17,WH01,SKU0022,367,13
2025-01-18,WH01,SKU0022,391,10
2025-01-19,WH01,SKU0022,359,10
2025-01-20,WH01,SKU0022,387,8
2025-01-21,WH01,SKU0022,368,9
2025-01-22,WH01,SKU0022,359,17
2025-01-23,WH01,SKU0022,353,11
2025-01-24,WH01,SKU0022,389,14
2025-01-25,WH01,SKU0022,355,12
2025-01-26,WH01,SKU0022,391,12
2025-01-27,WH01,SKU0022,374,13
2025-01-28,WH01,SKU0022,379,9
2025-01-29,WH01,SKU0022,386,17
2025-01-30,WH01,SKU0022,358,16
2025-01-01,WH01,SKU0023,411,29
2025-01-02,WH01,SKU0023,430,26
2025-01-03,WH01,SKU0023,430,34
